slug,title,url,date,year,month,topics,category,,Geographic Region ,summary,text_length,word_count,body
bun-0w49p93l,Breast Cancer Awareness Content,https://www.oversightboard.com/decision/bun-0w49p93l/,5/15/2025,2025,5,Adult nudity and sexual activity,"Freedom of expression,Health,Sex and gender equality",Overturned,"UK, Canada, United States",Fifteen users appealed Meta’s decisions to remove their Facebook and Instagram posts featuring different types of breast cancer awareness content.,8217,1196,
bun-1d7m83y5,Proud Boys News Article,https://www.oversightboard.com/decision/bun-1d7m83y5/,2/27/2024,2024,2,Dangerous individuals and organizations,"Freedom of expression,Journalism,News events",Overturned,United States,"The Board reviewed two Facebook posts, removed by Meta, which linked to a news report about the criminal sentencing of Proud Boys members. After the Board brought these two appeals to Meta’s attention, the company reversed its original decisions and restored both posts.",6268,948,
bun-1ynnk264,Gender Identity Debate Videos,https://www.oversightboard.com/decision/bun-1ynnk264/,4/23/2025,2025,4,Freedom of expression,"Freedom of expression,LGBT",Upheld ,"Canada,United States","In two posts that include videos in which a transgender woman is confronted for using a women’s bathroom and a transgender athlete wins a track race, the majority of the Board has upheld Meta’s decisions to leave up the content.",56424,8684,
bun-2fozdyiz,Statements Targeting Indigenous Australians,https://www.oversightboard.com/decision/bun-2fozdyiz/,8/1/2024,2024,8,Hateful conduct,"Discrimination,Marginalized communities,Race and ethnicity",Overturned,Australia,"A user appealed Meta’s decisions to leave up two Facebook posts, both shared by another user, which respond to news articles with commentary targeting the Indigenous population of Australia.",5259,788,
bun-3bczqsyp,Reports of Israeli Rape Victims,https://www.oversightboard.com/decision/bun-3bczqsyp/,4/4/2024,2024,4,,,,,"A user appealed Meta’s decisions to remove two Facebook posts that describe sexual violence carried out by Hamas militants during the October 7, 2023, terrorist attacks on Israel. After the Board brought the appeals to Meta’s attention, the company reversed its original decisions and restored the posts.",6598,1007,
bun-6aqh31t6,Posts Supporting UK Riots,https://www.oversightboard.com/decision/bun-6aqh31t6/,4/23/2025,2025,4,[],,,,"In reviewing three different posts shared during the UK riots of summer 2024, the Board has overturned Meta’s original decisions to leave them up on Facebook. Each created the risk of likely and imminent harm during a period of contagious anger and growing violence.",43187,6557,
bun-7e941o1n,Explicit AI Images of Female Public Figures,https://www.oversightboard.com/decision/bun-7e941o1n/,7/25/2024,2024,7,[],,,,"In two cases of explicit AI images that resemble female public figures from India and the United States, the Oversight Board finds that both posts should have been removed from Meta’s platforms.",48108,7487,
bun-7zoqzby0,Goebbels Quote,https://www.oversightboard.com/decision/bun-7zoqzby0/,12/18/2023,2023,12,[],,,,"In this summary decision, the Board considers four posts together. Four separate users appealed Meta’s decisions to remove posts that contain a quote attributed to Joseph Goebbels.",6426,951,
bun-86tj0rk5,Posts That Include “From the River to the Sea”,https://www.oversightboard.com/decision/bun-86tj0rk5/,9/4/2024,2024,9,[],,,,"In reviewing three cases involving different pieces of Facebook content containing the phrase “From the River to the Sea,” the Board finds they did not break Meta’s rules on Hate Speech, Violence and Incitement or Dangerous Organizations and Individuals.",76093,11735,
bun-8s1h6eu5,Educational posts about ovulation,https://www.oversightboard.com/decision/bun-8s1h6eu5/,11/16/2023,2023,11,[],,,,"In this summary decision, the Board is considering two educational posts about ovulation together. The Board believes that Meta’s original decisions to remove each post makes it more difficult for people to access a highly stigmatized area of health information for women. After the Board brought these two appeals to Meta’s attention, the company reversed its earlier decisions and restored both posts.",6179,954,
